siret,siren,nom_établissement,nom_entreprise,sigle,siège,effectif,effectifs,date_des_effectifs,chiffre_daffaires,code_naf,libellé_naf,catégorie_naf,date_création,date_fermeture,état_administratif,forme_juridique,microentreprise,taille_dentreprise,ess,subventions,procédure_collective,zonages,local_occupé,diffusible,numéro,voie,code_postal,commune,activités_réelles_et_filières,zones_géographiques,mots-clés,commentaires,effectifs.1
49531461900067,495314619,EKOSPORT,2 F,,non,11,10 à 19 salarié(e)s,2025.0,Entre 50 M€ et 100 M€,47.91B,Vente à distance sur catalogue spécialisé,Vente à distance,2017-11-01,,Actif,Société par actions simplifiée,non,ETI,non,,non,Sud Isère (Territoire d'industrie),,oui,30,AVENUE GABRIEL PERI 1 RUE GALILEE,38400,Saint-Martin-d'Hères,,,,,
49531461900117,495314619,EKOSPORT,2 F,,non,16-18,10 à 19 salarié(e)s,2025.0,Entre 50 M€ et 100 M€,47.64Z,Commerce de détail d'articles de sport en magasin spécialisé,Commerce de détail d'articles de sport en magasin spécialisé,2021-09-01,,Actif,Société par actions simplifiée,non,ETI,non,,non,Sud Isère (Territoire d'industrie),,oui,,RUE CHARLES DARWIN ZAC PORTES DU GRESIVAUDAN,38400,Saint-Martin-d'Hères,,,,,
43247063100040,432470631,,2 P,,oui,2,2 salariés,2025.0,Entre 500 001 € et 1 M€,68.20B,Location de terrains et d'autres biens immobiliers,Location et exploitation de biens immobiliers propres ou loués,2012-08-01,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,4,RUE DE L'OCTANT,38130,Échirolles,,,,,1 ou 2 salarié(e)s
43247063100032,432470631,,2 P,,non,3,3 à 5 salarié(e)s,2025.0,Entre 500 001 € et 1 M€,81.30Z,Services d'aménagement paysager,Services d'aménagement paysager,2008-12-01,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,9,RUE DU DIX NEUF MARS 1962,38130,Échirolles,,,,,
82431203700016,824312037,,2 RUBIS,,oui,1,1 ou 2 salarié(e)s,2025.0,Entre 0 et 5 000 €,70.10Z,Activités des sièges sociaux,Activités des sièges sociaux,2016-12-12,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,20,RUE DE LA BAJATIERE,38100,Grenoble,,,,,
88235078800023,882350788,,212 FAHRENEITH,,oui,2,2 salariés,2025.0,Données indisponibles,96.02A,Coiffure,Coiffure et soins de beauté,2020-07-10,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,,LES GLERIATES,38360,Sassenage,,,,,1 ou 2 salarié(e)s
50486523900017,504865239,292 (DEUX NEUF DEUX),292 ( DEUX NEUF DEUX ),,oui,1,1 ou 2 salarié(e)s,2025.0,Données indisponibles,56.10A,Restauration traditionnelle,Restaurants et services de restauration mobile,2008-06-17,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,95,RUE SAINT LAURENT,38000,Grenoble,,,,,
41109543300032,411095433,2A DISTRIBUTION / SUD PARE BRISE,2A DISTRIBUTION,,oui,16-18,10 à 19 salarié(e)s,2025.0,Entre 1 M€ et 10 M€,45.32Z,Commerce de détail d'équipements automobiles,Commerce de détail d'équipements automobiles,1999-11-01,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie) ; AFR,,oui,25,RUE DENIS PAPIN ZONE INDUSTRIELLE DES ILES,38800,Le Pont-de-Claix,,,,,
39470664200060,394706642,,2C PARTENAIRES,,non,2,2 salariés,2025.0,Entre 1 M€ et 10 M€,69.10Z,Activités juridiques,Activités juridiques,2018-01-01,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,25,RUE PIERRE SEMARD,38000,Grenoble,,,,,1 ou 2 salarié(e)s
43877323600015,438773236,,2CA,,oui,1,1 ou 2 salarié(e)s,2025.0,Données indisponibles,70.22Z,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,2001-07-25,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,33,BOULEVARD DES ALPES,38240,Meylan,,,,,
84064006400019,840640064,7IN,2E2MS,,oui,46-50,20 à 49 salarié(e)s,2025.0,Entre 1 M€ et 10 M€,78.20Z,Activités des agences de travail temporaire,Activités des agences de travail temporaire,2018-06-22,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,21,COURS JEAN JAURES,38000,Grenoble,,,,,
50856538900030,508565389,2ECONCEPT,2EC 2ECONCEPT,2EC,oui,4,3 à 5 salarié(e)s,2025.0,Entre 0 et 5 000 €,43.21A,Travaux d'installation électrique dans tous locaux,Installation électrique,2017-10-01,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,22,RUE HENRI DUNANT,38180,Seyssins,,,,,
32520386700024,325203867,,2EPG 2EPGAM,2EPG,oui,11,10 à 19 salarié(e)s,2025.0,Entre 500 001 € et 1 M€,43.34Z,Travaux de peinture et vitrerie,Travaux de peinture et vitrerie,1990-09-03,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,22,RUE HENRI DUNANT ZA DU PONT DU RONDEAU,38180,Seyssins,,,,,
89835790000015,898357900,,2F AMENAGEMENT,,oui,2,2 salariés,2025.0,Entre 0 et 5 000 €,43.31Z,Travaux de plâtrerie,Travaux de plâtrerie,2021-04-13,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,17,CHEMIN DE LA PLAINE ZA,38640,Claix,,,,,1 ou 2 salarié(e)s
85282115600035,852821156,CLUB MED,2F VOYAGES,,non,2,2 salariés,2025.0,Entre 0 et 5 000 €,79.11Z,Activités des agences de voyage,Activités des agences de voyage,2022-03-25,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,11,PLACE VICTOR HUGO,38000,Grenoble,,,,,1 ou 2 salarié(e)s
98137228700012,981372287,,2FX,,oui,4,3 à 5 salarié(e)s,2024.0,Données indisponibles,56.10A,Restauration traditionnelle,Restaurants et services de restauration mobile,2023-11-06,,Actif,Société par actions simplifiée,non,,non,,oui,Sud Isère (Territoire d'industrie),,oui,1,AVENUE GENERAL DE GAULLE,38120,Saint-Égrève,,,,,
85374723600018,853747236,,2H RESTAURATION,,oui,12,10 à 19 salarié(e)s,2025.0,Entre 1 M€ et 10 M€,56.10A,Restauration traditionnelle,Restaurants et services de restauration mobile,2019-09-05,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,2A,CHEMIN DES PRES 2A,38240,Meylan,,,,,
81831734900012,818317349,,2I PROCESS,,oui,3,3 à 5 salarié(e)s,2025.0,Données indisponibles,71.12B,"Ingénierie, études techniques",Activités d'ingénierie,2016-02-03,,Actif,Société à responsabilité limitée (SARL),non,PME,oui,,non,Village Sud (QPV) ; Village Sud (QPV 2015) ; Sud Isère (Territoire d'industrie),,oui,11,RUE CLEMENT ADER,38130,Échirolles,,,,,
51339151600020,513391516,,2ID,,oui,14,10 à 19 salarié(e)s,2025.0,Entre 1 M€ et 10 M€,70.22Z,Conseil pour les affaires et autres conseils de gestion,Conseil pour les affaires et autres conseils de gestion,2017-12-22,,Actif,Société par actions simplifiée,non,ETI,non,,oui,Sud Isère (Territoire d'industrie),,oui,9,AVENUE DE CONSTANTINE,38100,Grenoble,,,,,
37926320500039,379263205,CHEZ MARCEL,2J2LE,,oui,1,1 ou 2 salarié(e)s,2025.0,Données indisponibles,56.10A,Restauration traditionnelle,Restaurants et services de restauration mobile,2012-01-18,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,7,RUE DU VILLARD DE LANS,38000,Grenoble,,,,,
94959876700018,949598767,CARREFOUR CITY,2K DISTRIBUTION,,oui,7,6 à 9 salarié(e)s,2025.0,Entre 1 M€ et 10 M€,47.11D,Supermarchés,Commerce de détail en magasin non spécialisé à prédominance alimentaire,2023-04-01,,Actif,Société à responsabilité limitée (SARL),non,,non,,non,Sud Isère (Territoire d'industrie),,oui,24,RUE DE NORMANDIE-NIEMEN,38130,Échirolles,,,,,
83147164400037,831471644,,2L PROM,,oui,7,6 à 9 salarié(e)s,2025.0,Entre 0 et 5 000 €,71.12B,"Ingénierie, études techniques",Activités d'ingénierie,2021-07-29,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,,RUE DE L’INDUSTRIE,38120,Fontanil-Cornillon,,,,,
79987109000020,799871090,,2LG38,,non,1,1 ou 2 salarié(e)s,2025.0,Données indisponibles,47.72A,Commerce de détail de la chaussure,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,2014-02-01,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,,RUE DE BONNE,38000,Grenoble,,,,,
95165023300012,951650233,HOTEL DE L'EUROPE,2LGP RIONDET,,oui,7,6 à 9 salarié(e)s,2025.0,Données indisponibles,55.10Z,Hôtels et hébergement similaire,Hôtels et hébergement similaire,2023-04-17,,Actif,Société à responsabilité limitée (SARL),non,,non,,non,Sud Isère (Territoire d'industrie),,oui,22,PLACE GRENETTE,38000,Grenoble,,,,,
93062018200012,930620182,,2M,,oui,1,1 ou 2 salarié(e)s,2025.0,Données indisponibles,10.71C,Boulangerie et boulangerie-pâtisserie,Fabrication de pain et de pâtisserie fraîche,2024-06-26,,Actif,Société par actions simplifiée,non,,non,,non,Sud Isère (Territoire d'industrie),,oui,17,AVENUE DE VIZILLE,38000,Grenoble,,,,,
90947097300019,909470973,2M PEINTURE,2M PEINTURE,,oui,1,1 ou 2 salarié(e)s,2025.0,Données indisponibles,43.34Z,Travaux de peinture et vitrerie,Travaux de peinture et vitrerie,2022-02-01,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,11,PLACE RENE FRAPPAT RESIDENCE LES AMARYLLIS PORTE 9 BAT A,38100,Grenoble,,,,,
49978660600024,499786606,AGE D'OR SERVICES,2ND SOUFFLE AGE D'OR SERVICE 38,2ND SOUFFLE,oui,31-33,20 à 49 salarié(e)s,2025.0,Entre 0 et 5 000 €,88.10A,Aide à domicile,Action sociale sans hébergement pour personnes âgées et pour personnes handicapées,2014-10-01,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,32,RUE DE LA TUILERIE,38170,Seyssinet-Pariset,,,,,
91897290200012,918972902,2S FACADES,2S FACADES,,oui,1,1 ou 2 salarié(e)s,2025.0,Données indisponibles,43.99C,Travaux de maçonnerie générale et gros œuvre de bâtiment,Autres travaux de construction spécialisés n.c.a.,2022-07-11,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,11,AVENUE PAUL VERLAINE,38100,Grenoble,,,,,
42977136300075,429771363,,3 C EVOLUTION,,non,19-21,20 à 49 salarié(e)s,2025.0,Données indisponibles,62.01Z,Programmation informatique,Programmation informatique,2023-12-26,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,5A,CHEMIN DE LA DHUY ZONE DE MAUPERTUIS,38240,Meylan,,,,,
43025124900024,430251249,,3 M,,oui,5,3 à 5 salarié(e)s,2025.0,Entre 0 et 5 000 €,86.22C,Autres activités des médecins spécialistes,Activité des médecins spécialistes,2007-11-01,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,3,RUE EUGENE CHAVANT,38400,Saint-Martin-d'Hères,,,,,
81147565600120,811475656,,3 S : SEJOUR SPORTIF SOLIDAIRE,,non,2,2 salariés,2025.0,Données indisponibles,93.19Z,Autres activités liées au sport,Autres activités liées au sport,2022-05-01,,Actif,Association loi 1901 ou assimilé,non,PME,oui,"P147 - 2024 - DA00257248 - Cycles de sensibilisation à la réduction des déchets - QPV ALMA - 1500 €

P147 - 2024 - DA00257298 - Cycles de sensibilisation à la réduction des déchets - 1500 €",non,Sud Isère (Territoire d'industrie),,oui,3,RUE RAOUL BLANCHARD,38000,Grenoble,,,Economie circulaire,,1 ou 2 salarié(e)s
43470420100186,434704201,SKECHERS,310 MOTORING,,non,6,6 à 9 salarié(e)s,2025.0,Données indisponibles,46.42Z,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,Commerce de gros d'habillement et de chaussures,2024-04-08,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,55,GD PLACE CENTRE COMMERCIAL,38100,Grenoble,,,,,
43334058500010,433340585,,360 SCHEMATIQUE,,oui,2,2 salariés,2025.0,Données indisponibles,71.12B,"Ingénierie, études techniques",Activités d'ingénierie,2000-10-16,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,5,RUE DE LA VERRERIE,38120,Fontanil-Cornillon,,,,,1 ou 2 salarié(e)s
92107102300011,921071023,XS INCENDIE,38 INCENDIE,,non,11,10 à 19 salarié(e)s,2024.0,Données indisponibles,74.90B,"Activités spécialisées, scientifiques et techniques diverses","Autres activités spécialisées, scientifiques et techniques n.c.a.",2022-11-01,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,1,RUE ALFRED DE MUSSET,38100,Grenoble,,,,,
81515448900018,815154489,A LE LOCAL,383,,oui,8,6 à 9 salarié(e)s,2025.0,Données indisponibles,56.10A,Restauration traditionnelle,Restaurants et services de restauration mobile,2016-01-04,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,5,RUE FERNAND FOREST ZONE INDUSTRIELLE DE L'ILE BRUNE,38120,Saint-Égrève,,,,,
31999514800040,319995148,3A - AUTOMATISATION,3A 3A - ALPES AUTOMATIC,3A,oui,10,10 à 19 salarié(e)s,2025.0,Entre 0 et 5 000 €,27.12Z,Fabrication de matériel de distribution et de commande électrique,Fabrication de matériel de distribution et de commande électrique,2002-10-26,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,4,RUE IRENE JOLIOT CURIE,38320,Eybens,,,,,
49497228400025,494972284,,3A AUDIT & FINANCES,,oui,6,6 à 9 salarié(e)s,2025.0,Entre 1 M€ et 10 M€,69.20Z,Activités comptables,Activités comptables,2014-09-03,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,19,AVENUE DU GRANIER MINIPARC DES BEALIERES,38240,Meylan,,,,,
88393460600020,883934606,,3B,,oui,22-24,20 à 49 salarié(e)s,2025.0,Entre 10 M€ et 50 M€,23.63Z,Fabrication de béton prêt à l'emploi,Fabrication de béton prêt à l'emploi,2021-01-22,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,35,AVENUE ARISTIDE BERGES,38420,Domène,,,Dev Eco - à suivre,,
98453316600018,984533166,,3BE INVEST,,oui,1,1 ou 2 salarié(e)s,2025.0,Données indisponibles,66.30Z,Gestion de fonds,Gestion de fonds,2024-02-07,,Actif,Société à responsabilité limitée (SARL),non,,non,,non,Sud Isère (Territoire d'industrie),,oui,35,RUE MAUPERTUIS,38320,Eybens,,,,,
42404782700045,424047827,,3BIS,,oui,28-30,20 à 49 salarié(e)s,2025.0,Données indisponibles,82.99Z,Autres activités de soutien aux entreprises n.c.a.,Autres activités de soutien aux entreprises n.c.a.,2016-06-01,,Actif,Société anonyme à conseil d'administration,non,PME,oui,P147 - 2020 - Animation-sensibilisation à l'alimentation saine et locale - 3500 €,non,Sud Isère (Territoire d'industrie),,oui,88,RUE ANATOLE FRANCE,38100,Grenoble,,,Acteurs création d'activités,"cooperative d'activité dans laquelle est hébergé:
- les nebuleuses: gigner beer",
39032331900686,390323319,,3C,,non,2,2 salariés,2025.0,Entre 10 M€ et 50 M€,66.21Z,Évaluation des risques et dommages,Évaluation des risques et dommages,2022-04-01,,Actif,Société par actions simplifiée,non,ETI,non,,non,Sud Isère (Territoire d'industrie),,oui,26,BOULEVARD DES FRERES DESAIRE,38170,Seyssinet-Pariset,,,,,1 ou 2 salarié(e)s
84796488900020,847964889,,3C,,oui,8,6 à 9 salarié(e)s,2025.0,Entre 1 M€ et 10 M€,43.33Z,Travaux de revêtement des sols et des murs,Travaux de revêtement des sols et des murs,2021-07-16,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,3,RUE DE LA PREVACHERE,38400,Saint-Martin-d'Hères,,,,,
83198994200014,831989942,,3C HABITAT,,oui,1,1 ou 2 salarié(e)s,2025.0,Données indisponibles,43.32B,Travaux de menuiserie métallique et serrurerie,Travaux de menuiserie,2017-09-12,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,57,RUE DE LA LIBERATION,38950,Saint-Martin-le-Vinoux,,,,,
88263883600016,882638836,,3C SYNERGIE,,oui,2,2 salariés,2025.0,Entre 32 601 € et 100 000 €,70.10Z,Activités des sièges sociaux,Activités des sièges sociaux,2020-03-10,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,16,RUE DE SASSENAGE,38600,Fontaine,,,,,1 ou 2 salarié(e)s
43834994600014,438349946,,3CP,,oui,7,6 à 9 salarié(e)s,2025.0,Entre 0 et 5 000 €,56.10A,Restauration traditionnelle,Restaurants et services de restauration mobile,2001-06-14,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,32,BOULEVARD GAMBETTA,38000,Grenoble,,,,,
50521558200022,505215582,3DMC,3D MODEL CONCEPT,,oui,4,3 à 5 salarié(e)s,2024.0,Données indisponibles,71.12B,"Ingénierie, études techniques",Activités d'ingénierie,2014-03-21,,Actif,Société par actions simplifiée,non,PME,non,,oui,Sud Isère (Territoire d'industrie),,oui,36A,RUE DES VINGT TOISES,38950,Saint-Martin-le-Vinoux,,,,,
81986544500020,819865445,,3DTRUST,,oui,1,1 ou 2 salarié(e)s,2025.0,Données indisponibles,71.12B,"Ingénierie, études techniques",Activités d'ingénierie,2023-02-28,,Actif,Société par actions simplifiée,non,ETI,non,,non,Sud Isère (Territoire d'industrie),,oui,4,AVENUE DOYEN LOUIS WEIL,38000,Grenoble,,,,,
52483400900051,524834009,,3E-PERFORMANCE,3E-PERFORMANCE,oui,9,6 à 9 salarié(e)s,2025.0,Données indisponibles,74.90B,"Activités spécialisées, scientifiques et techniques diverses","Autres activités spécialisées, scientifiques et techniques n.c.a.",2023-02-06,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,6,RUE DU TOUR DE L’EAU ZAC DE CHAMP ROMAN,38400,Saint-Martin-d'Hères,Filière : Energie,,Adhérents Tenerrdis,,
81238930200017,812389302,PIZZA HUT,3LM PIZZA,,oui,4,3 à 5 salarié(e)s,2025.0,Données indisponibles,56.10C,Restauration de type rapide,Restaurants et services de restauration mobile,2015-06-25,,Actif,Société à responsabilité limitée (SARL),non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,46,AVENUE ALBERT 1ER DE BELGIQUE,38000,Grenoble,,,,,
84401376300017,844013763,,3M CALIFORNIE,,oui,2,2 salariés,2025.0,Données indisponibles,68.20B,Location de terrains et d'autres biens immobiliers,Location et exploitation de biens immobiliers propres ou loués,2018-11-19,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,,ESPACE COMBOIRE ZAC,38130,Échirolles,,,,,1 ou 2 salarié(e)s
88247171700018,882471717,3M METROLOGIE,3M METROLOGIE,,oui,1,1 ou 2 salarié(e)s,2025.0,Données indisponibles,71.12B,"Ingénierie, études techniques",Activités d'ingénierie,2020-03-02,,Actif,Société par actions simplifiée,non,PME,non,,non,Sud Isère (Territoire d'industrie),,oui,22,CRS LIBERATION - GEN DE GAULLE,38000,Grenoble,,,,,
